name,english_cname,file_name,genus,species,label
XC125254,Acorn Woodpecker,XC125254.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217727,Acorn Woodpecker,XC217727.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217712,Acorn Woodpecker,XC217712.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217734,Acorn Woodpecker,XC217734.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC448826,Acorn Woodpecker,XC448826.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC451184,Acorn Woodpecker,XC451184.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC451186,Acorn Woodpecker,XC451186.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217719,Acorn Woodpecker,XC217719.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC191753,Acorn Woodpecker,XC191753.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC356757,Acorn Woodpecker,XC356757.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC451200,Acorn Woodpecker,XC451200.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC451182,Acorn Woodpecker,XC451182.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC332645,Acorn Woodpecker,XC332645.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC408301,Acorn Woodpecker,XC408301.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217737,Acorn Woodpecker,XC217737.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217730,Acorn Woodpecker,XC217730.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC225551,Acorn Woodpecker,XC225551.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217717,Acorn Woodpecker,XC217717.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217728,Acorn Woodpecker,XC217728.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC376286,Acorn Woodpecker,XC376286.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC187296,Acorn Woodpecker,XC187296.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217722,Acorn Woodpecker,XC217722.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC358615,Acorn Woodpecker,XC358615.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC481135,Acorn Woodpecker,XC481135.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC451183,Acorn Woodpecker,XC451183.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC413024,Acorn Woodpecker,XC413024.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC217731,Acorn Woodpecker,XC217731.mp3,Melanerpes,formicivorus,Melanerpes formicivorus
XC297437,American Bushtit,XC297437.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149395,American Bushtit,XC149395.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149392,American Bushtit,XC149392.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149402,American Bushtit,XC149402.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC306327,American Bushtit,XC306327.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC359137,American Bushtit,XC359137.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC443468,American Bushtit,XC443468.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC347355,American Bushtit,XC347355.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149398,American Bushtit,XC149398.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC418027,American Bushtit,XC418027.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC358548,American Bushtit,XC358548.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149403,American Bushtit,XC149403.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC228622,American Bushtit,XC228622.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149393,American Bushtit,XC149393.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC453072,American Bushtit,XC453072.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149397,American Bushtit,XC149397.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149387,American Bushtit,XC149387.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC14550,American Bushtit,XC14550.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC350673,American Bushtit,XC350673.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC350681,American Bushtit,XC350681.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC90535,American Bushtit,XC90535.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC283953,American Bushtit,XC283953.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC339894,American Bushtit,XC339894.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC450763,American Bushtit,XC450763.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC450764,American Bushtit,XC450764.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC363349,American Bushtit,XC363349.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC256216,American Bushtit,XC256216.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC149390,American Bushtit,XC149390.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC350680,American Bushtit,XC350680.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC350663,American Bushtit,XC350663.mp3,Psaltriparus,minimus,Psaltriparus minimus
XC413789,American Crow,XC413789.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC114558,American Crow,XC114558.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC306320,American Crow,XC306320.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC221648,American Crow,XC221648.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC205241,American Crow,XC205241.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC205240,American Crow,XC205240.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC131445,American Crow,XC131445.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC413030,American Crow,XC413030.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC114561,American Crow,XC114561.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC453754,American Crow,XC453754.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC114550,American Crow,XC114550.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC172878,American Crow,XC172878.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC420508,American Crow,XC420508.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC90534,American Crow,XC90534.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC110263,American Crow,XC110263.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC481136,American Crow,XC481136.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC408017,American Crow,XC408017.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC221647,American Crow,XC221647.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC177595,American Crow,XC177595.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC322267,American Crow,XC322267.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC322281,American Crow,XC322281.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC318014,American Crow,XC318014.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC29506,American Crow,XC29506.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC481933,American Crow,XC481933.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC451209,American Crow,XC451209.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC172875,American Crow,XC172875.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC131447,American Crow,XC131447.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC381507,American Crow,XC381507.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC332328,American Crow,XC332328.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC122636,American Crow,XC122636.mp3,Corvus,brachyrhynchos,Corvus brachyrhynchos
XC124641,American Dusky Flycatcher,XC124641.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124632,American Dusky Flycatcher,XC124632.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC181519,American Dusky Flycatcher,XC181519.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC408297,American Dusky Flycatcher,XC408297.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC149579,American Dusky Flycatcher,XC149579.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC442322,American Dusky Flycatcher,XC442322.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC408588,American Dusky Flycatcher,XC408588.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124633,American Dusky Flycatcher,XC124633.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124639,American Dusky Flycatcher,XC124639.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC253710,American Dusky Flycatcher,XC253710.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124643,American Dusky Flycatcher,XC124643.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC190996,American Dusky Flycatcher,XC190996.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC482173,American Dusky Flycatcher,XC482173.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC256090,American Dusky Flycatcher,XC256090.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124629,American Dusky Flycatcher,XC124629.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124647,American Dusky Flycatcher,XC124647.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC381499,American Dusky Flycatcher,XC381499.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC315616,American Dusky Flycatcher,XC315616.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC140108,American Dusky Flycatcher,XC140108.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124646,American Dusky Flycatcher,XC124646.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC408298,American Dusky Flycatcher,XC408298.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124625,American Dusky Flycatcher,XC124625.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC22060,American Dusky Flycatcher,XC22060.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC104709,American Dusky Flycatcher,XC104709.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC146200,American Dusky Flycatcher,XC146200.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124622,American Dusky Flycatcher,XC124622.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124642,American Dusky Flycatcher,XC124642.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC381716,American Dusky Flycatcher,XC381716.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC149347,American Dusky Flycatcher,XC149347.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC325009,American Dusky Flycatcher,XC325009.mp3,Empidonax,oberholseri,Empidonax oberholseri
XC124819,American Grey Flycatcher,XC124819.mp3,Empidonax,wrightii,Empidonax wrightii
XC124836,American Grey Flycatcher,XC124836.mp3,Empidonax,wrightii,Empidonax wrightii
XC408278,American Grey Flycatcher,XC408278.mp3,Empidonax,wrightii,Empidonax wrightii
XC247805,American Grey Flycatcher,XC247805.mp3,Empidonax,wrightii,Empidonax wrightii
XC313539,American Grey Flycatcher,XC313539.mp3,Empidonax,wrightii,Empidonax wrightii
XC315099,American Grey Flycatcher,XC315099.mp3,Empidonax,wrightii,Empidonax wrightii
XC247806,American Grey Flycatcher,XC247806.mp3,Empidonax,wrightii,Empidonax wrightii
XC124831,American Grey Flycatcher,XC124831.mp3,Empidonax,wrightii,Empidonax wrightii
XC79575,American Grey Flycatcher,XC79575.mp3,Empidonax,wrightii,Empidonax wrightii
XC442323,American Grey Flycatcher,XC442323.mp3,Empidonax,wrightii,Empidonax wrightii
XC14088,American Grey Flycatcher,XC14088.mp3,Empidonax,wrightii,Empidonax wrightii
XC124649,American Grey Flycatcher,XC124649.mp3,Empidonax,wrightii,Empidonax wrightii
XC103088,American Grey Flycatcher,XC103088.mp3,Empidonax,wrightii,Empidonax wrightii
XC417878,American Grey Flycatcher,XC417878.mp3,Empidonax,wrightii,Empidonax wrightii
XC103109,American Grey Flycatcher,XC103109.mp3,Empidonax,wrightii,Empidonax wrightii
XC477818,American Grey Flycatcher,XC477818.mp3,Empidonax,wrightii,Empidonax wrightii
XC124824,American Grey Flycatcher,XC124824.mp3,Empidonax,wrightii,Empidonax wrightii
XC124828,American Grey Flycatcher,XC124828.mp3,Empidonax,wrightii,Empidonax wrightii
XC408277,American Grey Flycatcher,XC408277.mp3,Empidonax,wrightii,Empidonax wrightii
XC124827,American Grey Flycatcher,XC124827.mp3,Empidonax,wrightii,Empidonax wrightii
XC247804,American Grey Flycatcher,XC247804.mp3,Empidonax,wrightii,Empidonax wrightii
XC481990,American Grey Flycatcher,XC481990.mp3,Empidonax,wrightii,Empidonax wrightii
XC124833,American Grey Flycatcher,XC124833.mp3,Empidonax,wrightii,Empidonax wrightii
XC124648,American Grey Flycatcher,XC124648.mp3,Empidonax,wrightii,Empidonax wrightii
XC103089,American Grey Flycatcher,XC103089.mp3,Empidonax,wrightii,Empidonax wrightii
XC124821,American Grey Flycatcher,XC124821.mp3,Empidonax,wrightii,Empidonax wrightii
XC377800,American Grey Flycatcher,XC377800.mp3,Empidonax,wrightii,Empidonax wrightii
XC103087,American Grey Flycatcher,XC103087.mp3,Empidonax,wrightii,Empidonax wrightii
XC124838,American Grey Flycatcher,XC124838.mp3,Empidonax,wrightii,Empidonax wrightii
XC124837,American Grey Flycatcher,XC124837.mp3,Empidonax,wrightii,Empidonax wrightii
XC463100,American Robin,XC463100.mp3,Turdus,migratorius,Turdus migratorius
XC165277,American Robin,XC165277.mp3,Turdus,migratorius,Turdus migratorius
XC377115,American Robin,XC377115.mp3,Turdus,migratorius,Turdus migratorius
XC187308,American Robin,XC187308.mp3,Turdus,migratorius,Turdus migratorius
XC408325,American Robin,XC408325.mp3,Turdus,migratorius,Turdus migratorius
XC381537,American Robin,XC381537.mp3,Turdus,migratorius,Turdus migratorius
XC187307,American Robin,XC187307.mp3,Turdus,migratorius,Turdus migratorius
XC381535,American Robin,XC381535.mp3,Turdus,migratorius,Turdus migratorius
XC422421,American Robin,XC422421.mp3,Turdus,migratorius,Turdus migratorius
XC451211,American Robin,XC451211.mp3,Turdus,migratorius,Turdus migratorius
XC265455,American Robin,XC265455.mp3,Turdus,migratorius,Turdus migratorius
XC178008,American Robin,XC178008.mp3,Turdus,migratorius,Turdus migratorius
XC165278,American Robin,XC165278.mp3,Turdus,migratorius,Turdus migratorius
XC253960,American Robin,XC253960.mp3,Turdus,migratorius,Turdus migratorius
XC351866,American Robin,XC351866.mp3,Turdus,migratorius,Turdus migratorius
XC146297,American Robin,XC146297.mp3,Turdus,migratorius,Turdus migratorius
XC418265,American Robin,XC418265.mp3,Turdus,migratorius,Turdus migratorius
XC172405,American Robin,XC172405.mp3,Turdus,migratorius,Turdus migratorius
XC103060,American Robin,XC103060.mp3,Turdus,migratorius,Turdus migratorius
XC420475,American Robin,XC420475.mp3,Turdus,migratorius,Turdus migratorius
XC129798,American Robin,XC129798.mp3,Turdus,migratorius,Turdus migratorius
XC378442,American Robin,XC378442.mp3,Turdus,migratorius,Turdus migratorius
XC446457,American Robin,XC446457.mp3,Turdus,migratorius,Turdus migratorius
XC146295,American Robin,XC146295.mp3,Turdus,migratorius,Turdus migratorius
XC103059,American Robin,XC103059.mp3,Turdus,migratorius,Turdus migratorius
XC351879,American Robin,XC351879.mp3,Turdus,migratorius,Turdus migratorius
XC351863,American Robin,XC351863.mp3,Turdus,migratorius,Turdus migratorius
XC129802,American Robin,XC129802.mp3,Turdus,migratorius,Turdus migratorius
XC351877,American Robin,XC351877.mp3,Turdus,migratorius,Turdus migratorius
XC381579,American Robin,XC381579.mp3,Turdus,migratorius,Turdus migratorius
XC111439,Anna's Hummingbird,XC111439.mp3,Calypte,anna,Calypte anna
XC240406,Anna's Hummingbird,XC240406.mp3,Calypte,anna,Calypte anna
XC110813,Anna's Hummingbird,XC110813.mp3,Calypte,anna,Calypte anna
XC131442,Anna's Hummingbird,XC131442.mp3,Calypte,anna,Calypte anna
XC357976,Anna's Hummingbird,XC357976.mp3,Calypte,anna,Calypte anna
XC451239,Anna's Hummingbird,XC451239.mp3,Calypte,anna,Calypte anna
XC57970,Anna's Hummingbird,XC57970.mp3,Calypte,anna,Calypte anna
XC452540,Anna's Hummingbird,XC452540.mp3,Calypte,anna,Calypte anna
XC99550,Anna's Hummingbird,XC99550.mp3,Calypte,anna,Calypte anna
XC367257,Anna's Hummingbird,XC367257.mp3,Calypte,anna,Calypte anna
XC292274,Anna's Hummingbird,XC292274.mp3,Calypte,anna,Calypte anna
XC160911,Anna's Hummingbird,XC160911.mp3,Calypte,anna,Calypte anna
XC297440,Anna's Hummingbird,XC297440.mp3,Calypte,anna,Calypte anna
XC160908,Anna's Hummingbird,XC160908.mp3,Calypte,anna,Calypte anna
XC160906,Anna's Hummingbird,XC160906.mp3,Calypte,anna,Calypte anna
XC160910,Anna's Hummingbird,XC160910.mp3,Calypte,anna,Calypte anna
XC109651,Anna's Hummingbird,XC109651.mp3,Calypte,anna,Calypte anna
XC328180,Anna's Hummingbird,XC328180.mp3,Calypte,anna,Calypte anna
XC297468,Anna's Hummingbird,XC297468.mp3,Calypte,anna,Calypte anna
XC132250,Anna's Hummingbird,XC132250.mp3,Calypte,anna,Calypte anna
XC57971,Anna's Hummingbird,XC57971.mp3,Calypte,anna,Calypte anna
XC469881,Anna's Hummingbird,XC469881.mp3,Calypte,anna,Calypte anna
XC198499,Anna's Hummingbird,XC198499.mp3,Calypte,anna,Calypte anna
XC451240,Anna's Hummingbird,XC451240.mp3,Calypte,anna,Calypte anna
XC160914,Anna's Hummingbird,XC160914.mp3,Calypte,anna,Calypte anna
XC220098,Anna's Hummingbird,XC220098.mp3,Calypte,anna,Calypte anna
XC121435,Anna's Hummingbird,XC121435.mp3,Calypte,anna,Calypte anna
XC282320,Anna's Hummingbird,XC282320.mp3,Calypte,anna,Calypte anna
XC124484,Anna's Hummingbird,XC124484.mp3,Calypte,anna,Calypte anna
XC465010,Anna's Hummingbird,XC465010.mp3,Calypte,anna,Calypte anna
XC7426,Ash-throated Flycatcher,XC7426.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC283475,Ash-throated Flycatcher,XC283475.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC283538,Ash-throated Flycatcher,XC283538.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC286920,Ash-throated Flycatcher,XC286920.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC473370,Ash-throated Flycatcher,XC473370.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC283540,Ash-throated Flycatcher,XC283540.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC442320,Ash-throated Flycatcher,XC442320.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC124592,Ash-throated Flycatcher,XC124592.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC468237,Ash-throated Flycatcher,XC468237.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC368291,Ash-throated Flycatcher,XC368291.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC235964,Ash-throated Flycatcher,XC235964.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC71852,Ash-throated Flycatcher,XC71852.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC270297,Ash-throated Flycatcher,XC270297.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC477194,Ash-throated Flycatcher,XC477194.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC58178,Ash-throated Flycatcher,XC58178.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC365936,Ash-throated Flycatcher,XC365936.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC283515,Ash-throated Flycatcher,XC283515.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC79577,Ash-throated Flycatcher,XC79577.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC277243,Ash-throated Flycatcher,XC277243.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC377114,Ash-throated Flycatcher,XC377114.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC124600,Ash-throated Flycatcher,XC124600.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC318365,Ash-throated Flycatcher,XC318365.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC442321,Ash-throated Flycatcher,XC442321.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC244242,Ash-throated Flycatcher,XC244242.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC286838,Ash-throated Flycatcher,XC286838.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC129080,Ash-throated Flycatcher,XC129080.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC176540,Ash-throated Flycatcher,XC176540.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC244505,Ash-throated Flycatcher,XC244505.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC124593,Ash-throated Flycatcher,XC124593.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC418344,Ash-throated Flycatcher,XC418344.mp3,Myiarchus,cinerascens,Myiarchus cinerascens
XC120285,Bell's Sparrow,XC120285.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC233389,Bell's Sparrow,XC233389.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC125579,Bell's Sparrow,XC125579.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC459759,Bell's Sparrow,XC459759.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC145055,Bell's Sparrow,XC145055.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC125542,Bell's Sparrow,XC125542.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC145054,Bell's Sparrow,XC145054.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC353723,Bell's Sparrow,XC353723.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC399368,Bell's Sparrow,XC399368.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC309042,Bell's Sparrow,XC309042.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC473376,Bell's Sparrow,XC473376.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC6759,Bell's Sparrow,XC6759.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC167611,Bell's Sparrow,XC167611.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC311624,Bell's Sparrow,XC311624.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC418236,Bell's Sparrow,XC418236.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC232504,Bell's Sparrow,XC232504.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC309931,Bell's Sparrow,XC309931.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC232506,Bell's Sparrow,XC232506.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC167609,Bell's Sparrow,XC167609.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC311050,Bell's Sparrow,XC311050.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC408541,Bell's Sparrow,XC408541.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC418241,Bell's Sparrow,XC418241.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC311623,Bell's Sparrow,XC311623.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC309039,Bell's Sparrow,XC309039.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC408540,Bell's Sparrow,XC408540.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC232494,Bell's Sparrow,XC232494.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC311622,Bell's Sparrow,XC311622.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC459765,Bell's Sparrow,XC459765.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC210630,Bell's Sparrow,XC210630.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC144072,Bell's Sparrow,XC144072.mp3,Artemisiospiza,belli,Artemisiospiza belli
XC312746,Bell's Vireo,XC312746.mp3,Vireo,bellii,Vireo bellii
XC312745,Bell's Vireo,XC312745.mp3,Vireo,bellii,Vireo bellii
XC47031,Bell's Vireo,XC47031.mp3,Vireo,bellii,Vireo bellii
XC312744,Bell's Vireo,XC312744.mp3,Vireo,bellii,Vireo bellii
XC282799,Bell's Vireo,XC282799.mp3,Vireo,bellii,Vireo bellii
XC302371,Bell's Vireo,XC302371.mp3,Vireo,bellii,Vireo bellii
XC408132,Bell's Vireo,XC408132.mp3,Vireo,bellii,Vireo bellii
XC302373,Bell's Vireo,XC302373.mp3,Vireo,bellii,Vireo bellii
XC188497,Bell's Vireo,XC188497.mp3,Vireo,bellii,Vireo bellii
XC310078,Bell's Vireo,XC310078.mp3,Vireo,bellii,Vireo bellii
